"FREQ","C6(+)","C6(+)"
10,63.8537,33.6201
12.58925412,64.033,26.6941
15.84893192,64.1475,21.0941
19.95262315,64.2203,16.5685
25.11886432,64.2663,12.9005
31.6227766,64.2952,9.90687
39.81071706,64.313,7.43458
50.11872336,64.3237,5.35509
63.09573445,64.3293,3.55933
79.43282347,64.3313,1.95261
100,64.33,0.450048
125.8925412,64.3251,-1.02759
158.4893192,64.3156,-2.55775
199.5262315,64.2995,-4.2196
251.1886432,64.2734,-6.09712
316.227766,64.2319,-8.2815
398.1071706,64.1667,-10.8719
501.1872336,64.0651,-13.9736
630.9573445,63.9088,-17.6899
794.3282347,63.6719,-22.1073
1000,63.321,-27.2678
1258.925412,62.8171,-33.1346
1584.893192,62.1218,-39.5622
1995.262315,61.207,-46.2941
2511.886432,60.0639,-53.0068
3162.27766,58.7068,-59.389
3981.071706,57.1672,-65.2142
5011.872336,55.4844,-70.3728
6309.573445,53.6961,-74.8614
7943.282347,51.8335,-78.75
10000,49.9197,-82.1487
12589.25412,47.9705,-85.1853
15848.93192,45.9958,-87.9923
19952.62315,44.0006,-90.7021
25118.86432,41.9859,-93.446
31622.7766,39.9486,-96.3563
39810.71706,37.8816,-99.5656
50118.72336,35.7721,-103.206
63095.73445,33.6007,-107.398
79432.82347,31.3404,-112.237
100000,28.9562,-117.761
125892.5412,26.4087,-123.918
158489.3192,23.6612,-130.54
199526.2315,20.6899,-137.353
251188.6432,17.4918,-144.032
316227.766,14.0863,-150.282
398107.1706,10.5081,-155.904
501187.2336,6.79676,-160.815
630957.3445,2.989,-165.029
794328.2347,-0.885649,-168.622
1000000,-4.80541,-171.703
